"RelativePath","SHA256","Bytes"
"firmware\MDK-ARM\.gitkeep","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0"
"firmware\MDK-ARM\GuardianF401\.gitignore","F4333DC25BB106A83C637D03F6830C0161C99BA5546F2A583199F5BBA9B0EB98","229"
"firmware\MDK-ARM\GuardianF401\GuardianF401.ioc","66CF77BA34951927D17BD31FE0A8B16B78FD62A4315F39299DFA5A535FD74360","3707"
"firmware\MDK-ARM\GuardianF401\README.md","7FC072BF5491C36DDFABD0C9C5FF0851B5FAF09D626DF6899BA9B84FB951ABA1","1526"
"firmware\MDK-ARM\guardian-f401-keil-checklist.md","F908C509FE6ED719CD1E6E14F515BB73EBF762AE2283989A6B6D6CD007A0AAAB","1478"
"firmware\MDK-ARM\guardian-f401-keil-includes.txt","0F751B6B03AD46A0D572ABE77B59F586DDEEAE17A482190191330E8A440876BF","243"
"firmware\MDK-ARM\guardian-f401-keil-sources.txt","F19D466598D78ABE98603574CF4F0CAF1DD713A0D648F96DC9BD9B6E63E23FAE","1405"
"firmware\MDK-ARM\Templates\main_guardian.c","C404A0F7B5B254ACB735E9AC1528CF91E2957A030CD8B24F562114074BB41FFC","2464"
"firmware\Platform\Inc\guardian_embedded_link.h","5DED33B2C7C4CA6827BC4E31D59EE5ACB878050DF7CB6A43FF45517881564256","8000"
"firmware\Platform\Src\guardian_embedded_link.c","38A15EB772F2DD359CED555DD943775B783B40D0FBE7064873A771FC04DD5BE8","50853"
"firmware\Platform\STM32F401\Inc\guardian_stm32f401_preflight.h","AF0AAAFF03EB065690AE31D07A2EFBD16C5738B97D20E343F790895D1B5F6AD9","2989"
"firmware\Platform\STM32F401\Inc\guardian_stm32f401_target.h","85D5D161CC03F274D89D76D2E13984F9EF441578D6ECB480FCCEF4973FA57923","2838"
"firmware\Platform\STM32F401\Inc\stm32f401_acquisition.h","B4250E75838FAAEEE70043289FF27F53AB756F899DE47A66FC9443A9D5BC22B4","3759"
"firmware\Platform\STM32F401\Inc\stm32f401_uart2.h","47411E5FFD5B5B4EF24EF1B3963595E6C3A5D82B7533924B997FF3F831192AAE","2283"
"firmware\Platform\STM32F401\Src\guardian_stm32f401_preflight.c","E40650E1C422B275920BDE99CCFDE97E3CFE2B30A9663CDA726767560459CABF","8279"
"firmware\Platform\STM32F401\Src\stm32f401_acquisition.c","6AB5E4E15118D2C242AAB56C8CD024ADC94869CD7E773A25C8A57844FE38431E","54760"
"firmware\Platform\STM32F401\Src\stm32f401_acquisition_irq.c","C7D3B9B621F4614562E6C27A6957038B5348CDC68152A34112087285A1E7807A","852"
"firmware\Platform\STM32F401\Src\stm32f401_uart2.c","74058108BB6E655EF57A58AFBB5B2A13BAE0ECE5F95BAB9DFECBEBE3DC5FC74A","16121"
"firmware\Platform\STM32F401\Src\stm32f401_uart2_irq.c","F7FDB287043485E6B462C682167DD815556576CDDBEABBA75BA64CA3EAE5318C","334"
"firmware\Protocol\Inc\guardian_parser.h","4F39E35A4E85CFF2A448F2C6E607082562278F484A34C6FC5920EA40C38B81BF","2725"
"firmware\Protocol\Inc\guardian_protocol.h","FE4E8142FA705F198DD947FC93433D5DA712CEA97808E6066F13151C8878D8E2","8516"
"firmware\Protocol\Src\guardian_parser.c","73BE59ED21EE4AF56AA9AFDF5FA3948E7F96D113DCA732A2F9BF29BA0E6275B0","10105"
"firmware\Protocol\Src\guardian_protocol.c","7A7F409738FA4E69E457FF2C448B3BC96510596CF2567614384810101B36362A","15106"
"firmware\README.md","358AC2733B75CB2A4A69C121AB4B23AC9640C111269E922AE94D643A169C9C04","1020"
"firmware\Security\Inc\guardian_crypto.h","48CD82445EDF640866E91D24644A4A0F3E7BFB3616A24529844EA12165445D0E","992"
"firmware\Security\Inc\guardian_security.h","86B832348D50BF3DA988DC7F0926928A45B698E5D07882676ACE44A04D4F121F","10361"
"firmware\Security\Src\guardian_crypto.c","6F0A7DC6498732D885095255960F5D59ABFF828B5C8E97CE576748AC1A1EBD79","18300"
"firmware\Security\Src\guardian_security.c","9EF04604B9BF1DC5F1BE1A9FC0EE916EB0A7957DEBAC53E21D926878D03B98F1","49363"
"firmware\Telemetry\Inc\guardian_telemetry.h","1BC2865ACD5EBEC31D471673672AF462225CD6AC40686E1B8C6ED1CB12756B94","2950"
"firmware\Telemetry\Src\guardian_telemetry.c","680781BFB7AE4D59471D0FA4DA6C1C9577363FE1D4E533353F0B7E44160FABFC","12663"
"firmware\Tests\acquisition_host_test.c","7A924F634B3B4155A5714D2291C5AFF65D6D5E63BFA265BF808EEA5E8373FA9C","16431"
"firmware\Tests\CMSISStub\stm32f4xx.h","A39AA7A9CC2D2E5A888645D7414B09D980F3542225B238A279B54553D2E32B67","11010"
"firmware\Tests\control_host_test.c","90524C8FC822EDAB1203049E343865798F9028B026EDF0847A36438B250C52F1","19202"
"firmware\Tests\control_link_host_test.c","27BB57658BE72E536133158D5E992BF9AAB5C562AE48379B1FC55ED2343AEE24","13323"
"firmware\Tests\dsp_host_test.c","C231DE38084BEFB8D509A40AFA2402950062C156D01B83C39AB725D2936A2BD4","9756"
"firmware\Tests\embedded_link_host_test.c","7A7FCC5DEB93959145B5BD082D5A4DFC963CF0B963C972DE0AE4610498767E47","10225"
"firmware\Tests\firmware_lifecycle_host_test.c","DA7A7DE458DB628DA66DD44EBF6A0E8BA920ACF0B6D34BC212AACDEF28117EDE","20033"
"firmware\Tests\health_host_test.c","65ADBD28ADABC785F5FE86D2C00ABC1C204D923F275492BD5488CC2CBE969CE8","13212"
"firmware\Tests\protocol_host_test.c","1F0BECE5EA2ABE7DBE8A6CC4F43B05D25E2A17B4DB73833CDF1628A73F10AF7E","7841"
"firmware\Tests\security_host_test.c","DC6ADBBF84A950F7A9A7AB6A0496D433C3FABA1059799246C0ADE882A2102903","19155"
"firmware\Tests\security_link_host_test.c","6768ADF64A530B42DEA74EE4A5F78E0C130CA8A86799448D9C48A085D4AF96F0","19467"
"firmware\Tests\telemetry_host_test.c","15CB15AF66062E4D551618501863315C002141CBE16C1FE03C97FD7D433BC178","13849"
"fuzz\c\parser_libfuzzer.c","E3168CCD0F61D34913E73670D656F82BAF6DFE22176C993E4AB4BF41FE7DE3EF","1694"
"fuzz\c\parser_mutation_driver.c","270A7F3978855AD278D8B3635C1D2360F168090424310BA2D6B25DEFCB5D042C","13103"
"fuzz\c\security_libfuzzer.c","DCDB433D54399967956EAAF9AD551DBF084955AB026CC9408EC5E9C01F57CE28","4208"
"fuzz\c\security_mutation_driver.c","ECB0B6AD963EE356F77DCB4EACF8DCF0B01EC2533B7A8466BE664233FDB90750","18721"
"fuzz\corpus\parser\noise-magic.bin","F1FE5C84436F09262F1C6890E8F7F5984CE4F3CB113F50BF334BE7418991355D","10"
"fuzz\corpus\parser\oversize-header.bin","B25B32FB824BDD8C37CC29A59078FF476D324E8DFC1F0A67397AE2B7FB653D03","12"
"fuzz\corpus\parser\ping.bin","3AB9CB558692E9F65F4E654BC85BCEE0DD7399A7027FFC0BD7F3DABA3A4042E3","16"
"fuzz\corpus\parser\status.bin","C1AD80B607C900D24A74449CB0BCF5E1513EEE4D693865BC6319B74E220F63A1","16"
"fuzz\corpus\security\malformed-prefix.bin","FE84F1175178F76FE475F0E9309BAC426C2CBE57AE0BE061CF9C91BB0A46BED2","17"
"fuzz\corpus\security\truncated-secure.bin","6884DA28F137BB1A522473D5DB025DAABC4FA8EEC066F933479813D442169097","15"
"fuzz\corpus\security\valid-baseline-secure.bin","5CC5C284C3C4949D68E5A26355E766169FBFC2352F44B3D83070D9B31768802B","36"
"fuzz\python\guardian_robustness\__init__.py","0CC82B28E4DB50564732996A541696A2965F88DF0D1435F033E3DA3F26A80455","716"
"fuzz\python\guardian_robustness\campaign.py","4C142B347D4599D74326BC189AFDCF565C435FD588584E222E6297C1E132CCBF","22345"
"fuzz\python\guardian_robustness\mutations.py","CBAB5BE5354E06D2070907263B580D8F38B44D3D3BF0601D3B59DB3AEDEB03E9","12475"
"fuzz\python\tests\test_campaign.py","47F1BD29ACE36FCDA505BDEFEA591879D0EE2B451DFDE544D243016D227E8523","2349"
"fuzz\python\tests\test_mutations.py","E23282BC40A1C799057CA629338907E5E4A8BC6A0E2D17A19E3FE6054831C12B","2548"
"fuzz\README.md","F902D1FD9326DE26BD0D4E342E67BB456218D71DB4B15C9C3D4BB4AD58923736","1997"
"LICENSE","795AA3C71E95A5E94D197FCB4461A405B252C2F59A6FA64CB6625BFD09502752","2721"
"NOTICE","FFA65B4AF734A47AB4BDCFF07CAE2DBADF400A8E76D2BE762D4ACE4EA98E4F25","1133"
"protocol\commands.md","1177410E6105AB2F5407668A279D225337761169CC8F02F90EF9E8D357B9A7AC","13351"
"protocol\python\guardian_protocol\__init__.py","B7907464EF1590607828C38D86540E33750BB95CAA13076E41A4C23370FEBCD9","7183"
"protocol\python\guardian_protocol\constants.py","D289C295AB29F77DCDC443A71C7282ACE079DA0F86770C81CA1DEC4669D1D129","661"
"protocol\python\guardian_protocol\control.py","D2B4E5788A040041536A10BF7EE64D8563CB34736D59045CD83647F6A6C5841A","15107"
"protocol\python\guardian_protocol\crc.py","ACAF334D345F4ADF4F3DCA11B1EA50C23F5873E4D62B09DFCAB58DD964BFDD26","1310"
"protocol\python\guardian_protocol\dsp.py","4F61A7441378BF502A7EFF5B5D19FF72A2EDAFBAB8E68486ABB3A3613F74BE6F","6975"
"protocol\python\guardian_protocol\enums.py","84507534BD2ECE218025162C646A312B9FD88F1F68EF89EB9D193F32363B00B3","4762"
"protocol\python\guardian_protocol\firmware.py","C756DE97C2B3D9B0CC6C335CEF79569530716CE8D10C35223FA6552B4F07384A","28370"
"protocol\python\guardian_protocol\frame.py","7AF94F8E0892009BF90669BEF72D2EE2D5CAD807D77E9E2AE800795EFC79504D","8409"
"protocol\python\guardian_protocol\health.py","421725CC97B7C87492E1D7F2D73BF33F8B86224D37032FD3B01A40037CF9459C","12350"
"protocol\python\guardian_protocol\parser.py","F097FD55B500F8E30EADD33CD9D787F58498662C8877E2C92F3C80C683099701","6350"
"protocol\python\guardian_protocol\payloads.py","9B11EB8C050A1A08755C29DEE99A79EE63C53D754E33338124026941546779D2","10538"
"protocol\python\guardian_protocol\security.py","ABA988EAE89E5C76969D1D24D381A5F7AB783BF58E9E29D098D966F007DF6F05","31573"
"protocol\python\guardian_protocol\telemetry.py","B266FB2E67ACB906D59B8C35BCB1C31A0C13F03516709C7AA59765F8052F05F1","9122"
"protocol\python\tests\test_control.py","A4EF91AAA8F0EA74393F2E437A7B16AFA086C021D088D26F8918521C63507979","4014"
"protocol\python\tests\test_dsp.py","9733935F84A6ED23C1E627CCC502BEB95ACD40540AC94A91EA45C859983DDC87","2478"
"protocol\python\tests\test_firmware.py","02CA0EDB7D45CF46AF1B47F4AB3BD194D571407AEBC3B59765260EE284F0CF24","5828"
"protocol\python\tests\test_frame.py","8ABB333680653F1322E3B8B15FC0D526E0D3907B164DF86D8E319396878D5B55","5070"
"protocol\python\tests\test_health.py","42BA825E5311EC653D065B38CCE48E113EAD53D4FC26C29937F6C13F65A20E1F","4063"
"protocol\python\tests\test_parser.py","67D276F3C176DFBA1522766151556F5B3B619DD12AF7469CEDA49C40D563D670","5966"
"protocol\python\tests\test_payloads.py","25FE1013C6BCEBB0038E7E93820445646376C30C3439BB76AD54E37400AF2975","3496"
"protocol\python\tests\test_security.py","F45000FD15DB73E256E59EF960277C186BBB966EA2E25541E2FDE33D4615C4BE","6600"
"protocol\python\tests\test_telemetry.py","C9B1AEA973B2BBCA92A50EA1B3DD5E4C4931639AB95F20D66BDF7D5C3FB19917","3488"
"protocol\specification.md","4AB21C01F7E4EC37EEA35B2086D1F2B44CA01694E0676C69C0CCD30A4107889B","4115"
"README.md","4BA1CB7C62319DF54E7AB3810BB343B4CBBB015903F6D7240D345828C0AB46B2","4302"
"release-evidence\guardian-f401.hex","1F5157A6E176F8B3342C3D408C77787E109739CCB2433A5266FC3E2BB68520DB","100835"
"release-evidence\keil-build.log","0612CDF844E2AC98D8E6FBBBE3E357227335A10D6F5E24B84AAA8ACFBD3A706A","3306"
"release-evidence\prezenodo-preparation-report.json","CFD7FFF35C6AF65BA36736C2DE4137F1FB2F54D2334EF127AEB0719BA5DF7B44","1595"
"SECURITY.md","B01D3EAC10D76B67678A533525F0C4990C2B705DEC7D91545BAD84E2D169CBF7","1902"
"simulator\README.md","395D8C03E78B3E24F451498497B27F8B6A88EA3D3605CACB874EE4B09CD593F4","1070"
"simulator\src\guardian_sim\__init__.py","78909B788BAEFE56E901366E4557397CEA0A9E5168417FE73595CC749638DAAA","1072"
"simulator\src\guardian_sim\__main__.py","B90672EEDA7062EAD289C392384B2642E9A2CE7F25CFE09C886AA5AC0E78977D","2840"
"simulator\src\guardian_sim\config.py","DA726F61A32C0B2F81246B2263F61325523675EC6D738BF1EE7208A28F559DFC","5931"
"simulator\src\guardian_sim\control.py","238F30CC1B752904E28188AEBA4D6EB369E94517332C23E46DA19E292F6A4E2F","15254"
"simulator\src\guardian_sim\device.py","24A05EB51E88CC1CBB504566E20DC8E1FC5B5BCC8F009AAD0C574B6AF87FC44D","49318"
"simulator\src\guardian_sim\firmware.py","7DD5CF2014AECA38C69A463EF7A8A9F9C0B8B03591B610CDB2A35DBD33935E5E","13881"
"simulator\src\guardian_sim\health.py","49398292F91ACD0FBDA0B49FF58E2B7F3D14C787D86A26320F6481F0D0CE1A16","14819"
"simulator\src\guardian_sim\security.py","B9A4C249D55450844E0A654CAF02BF5B0538C4458C565773689BCFD6E4DE7A6B","17011"
"simulator\src\guardian_sim\server.py","B7350D5FA2F70302DC840989A506F1AB942E78CCBD509F4662EDD4FEF29E28CD","8080"
"simulator\tests\test_control.py","2F0CBC225B960910FD06C944FF58106A731E9338325BFAC43B78EE7A43303BCB","10344"
"simulator\tests\test_device.py","B46AE804DFEE1F0DC11584E86E58A843251C131E1102F9461FFC7621B3545845","6680"
"simulator\tests\test_firmware.py","3278FB5D6A8151A393036DD0ED2C3075CC14D20045E4989A6820FA0210C8D1CE","8776"
"simulator\tests\test_health.py","29D3B21F46083AF6257AD7191C669BCDCC0EA61CC3779A334365DEAC348837D4","4812"
"simulator\tests\test_security.py","650AD61FEF06C909D1D0DCF4C7D097B546EB954AE6CB36258EF8C9E50B6A7EBD","10185"
"simulator\tests\test_server.py","D17DEFBA0FD778E5634BF83F69E40F533A7A6735365898D42D84B7A560297EEE","6557"
"simulator\tests\test_telemetry.py","B95F029504E1675AA2E3FC0CDF548BAF80A114DF1487317C8E46D32CD6393B3A","3957"
"tests\integration\.gitkeep","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0"
"THIRD_PARTY_NOTICES.md","7CFD3471DD919E236CCA03288D5BC695CFC1BAF9C07210AAE7BA8357BD59086A","2040"
"tools\build_firmware_package.py","BD8C1A1C2897BBF11F44E4A4FF7B74183CE67471E1FF02CA92E6CB93121D9746","14465"
"tools\guardianctl.py","EDE8E3BC62F58B652652EE833BE16561BF099CF16A3F88D073989EE7F38A228A","1155"
"tools\hardware_validation.py","BD7D7A657974E3A9409BC5D77CB5A1B11E7C36602AB501409F545C8C13A4EF05","5695"
"tools\run_robustness.py","5E21708C941A2E5697F824E33B14EB1B7AD227FCF15EC29571E92BE1CDC247CF","4106"
"tools\run_simulator.py","71FF84DF8B966442B3A338E859B31639CDC62C21B44F01728E6D153C0E3AF72A","1175"
"tools\validate_keil_manifest.py","9B41130A742022E9BA4A2E6533DEB884BEA90A1BFD763B7A3C519E0724E48C20","10488"
"VERSION","181FB5A5F5F8B7E93E53D3E53E73106401E58AF55F52C7BCD9D8CED7657B464F","8"
